player_id,full_name,team_id,position,start_cost,end_cost,now_cost,total_points,season_name,minutes,bonus,bonus_points,goals_scored,assists,selected_by,goals_conceded,clean_sheets,yellow_cards,red_cards,penalties_missed,saves,penalties_saved,avg_cost,roi
18726,Artur Boruc,91,Goalkeeper,50.0,47.0,41,0.0,2014/15,0.0,0.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5,0.0
18726,Artur Boruc,91,Goalkeeper,45.0,45.0,41,108.0,2015/16,2880.0,9.0,513.0,0.0,0.0,8.6,51.0,7.0,2.0,0.0,0.0,77.0,2.0,45.0,2.4
18726,Artur Boruc,91,Goalkeeper,45.0,45.0,41,120.0,2016/17,3150.0,7.0,657.0,0.0,0.0,8.6,63.0,9.0,2.0,0.0,0.0,115.0,2.0,45.0,2.6666666666666665
18726,Artur Boruc,91,Goalkeeper,45.0,41.0,41,0.0,2017/18,0.0,0.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0
131897,Mathew Ryan,36,Goalkeeper,45.0,46.0,44,146.0,2017/18,3420.0,13.0,726.0,0.0,0.0,4.9,54.0,10.0,0.0,0.0,0.0,124.0,2.0,45.5,3.208791208791209
21205,Tom Heaton,90,Goalkeeper,48.0,48.0,48,0.0,2006/07,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0
21205,Tom Heaton,90,Goalkeeper,40.0,40.0,48,0.0,2007/08,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
21205,Tom Heaton,90,Goalkeeper,45.0,47.0,48,150.0,2014/15,3420.0,11.0,615.0,0.0,0.0,0.5,53.0,10.0,1.0,0.0,0.0,127.0,2.0,46.0,3.260869565217391
21205,Tom Heaton,90,Goalkeeper,45.0,51.0,48,149.0,2016/17,3150.0,21.0,741.0,0.0,0.0,0.5,48.0,10.0,1.0,0.0,0.0,142.0,1.0,48.0,3.1041666666666665
21205,Tom Heaton,90,Goalkeeper,50.0,47.0,48,8.0,2017/18,305.0,0.0,48.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,8.0,0.0,48.5,0.16494845360824742
98747,Nick Pope,90,Goalkeeper,40.0,39.0,48,0.0,2016/17,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,0.0
98747,Nick Pope,90,Goalkeeper,45.0,50.0,48,152.0,2017/18,3114.0,19.0,701.0,0.0,0.0,0.2,35.0,11.0,3.0,0.0,0.0,113.0,1.0,47.5,3.2
88734,Neil Etheridge,97,Goalkeeper,40.0,40.0,46,0.0,2010/11,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
88734,Neil Etheridge,97,Goalkeeper,45.0,45.0,46,0.0,2011/12,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0
88734,Neil Etheridge,97,Goalkeeper,40.0,40.0,46,0.0,2012/13,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
